riddles,answers,jokes
What has to be broken before you can use it?,an egg,"Why dont skeletons fight each other?
Because They dont have the guts"
"I can fill a room, but I take up no space. What am I?",light,"Why don't scientists trust atoms?
Because they make up everything!"
"Im tall when Im young, and Im short when Im old. What am I?",a candle,"Why don't some couples go to the gym?
Because some relationships don't work out."
"What has a head, a tail, is brown, and has no legs?",a penny,Why was the math book sad?
Because it had too many problems.
What has many teeth but cannot bite?,a comb,"I told my wife she was drawing her eyebrows too high.
She looked surprised"
What can travel around the world while staying in a corner?,a stamp,"What do you call cheese that isn't yours?
Nacho cheese!"
What is so fragile that saying its name breaks it?,silence,"I asked the librarian if the library had any books on paranoia.
She whispered "They're right behind you."
"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",an echo,"What do you call an alligator in a vest?
An investigator!"
"The more you take, the more you leave behind. What am I?",footsteps,"Why did the bicycle fall over?
Because it was two-tired!"
What has keys but cant open locks?,a piano,"Why did the golfer bring two pairs of pants?
In case he got a hole in one."
"The more of this there is, the less you see. What is it?",darkness,"What do you call a fish wearing a bowtie?
Sofishticated."
